x (mm),z (mm),P_atm (Pa),Temp (∞C),Slant angle (∞),Target U_inf (m/s),P_tot_y_190,P_tot_y_170,P_tot_y_150,P_tot_y_130,P_tot_y_110,P_tot_y_90,P_tot_y_70,P_tot_y_63,P_tot_y_55,P_tot_y_50,P_tot_y_43,P_tot_y_35,P_tot_y_30,P_tot_y_23,P_tot_y_15,P_tot_y_10,P_tot_y_-10,P_tot_y_-30,P_tot_y_-50,P_tot_y_-70,P_tot_y_-90,P_tot_y_-110,P_stat_y_200,P_stat_y_160,P_stat_y_120,P_stat_y_80,P_stat_y_40,P_stat_y_0,P_stat_y_-40,P_stat_y_-100,P_tot_Prandtl,P_stat_Prandtl
345,-80,104800,22,35,10,-63.27705299,-63.23115543,-63.39212955,-63.22391937,-63.21853271,-63.49796761,-63.33880844,-63.27226665,-63.23493893,-63.73349197,-64.1222876,-65.39262367,-69.20224785,-72.40956078,-76.53855766,-82.36347107,-81.33527855,-67.74279335,-63.23525368,-62.9779015,-63.47276161,-63.06265469,-119.72180428,-119.1331575,-118.76177475,-117.32488289,-117.43517868,-116.91151459,-115.44728165,-114.34548363,-63.43303814,-115.13372635
345,-70,104800,22,35,10,-62.89761803,-63.05388382,-63.27928776,-63.26643612,-63.08632275,-63.26998688,-63.48533306,-63.48273865,-63.06293392,-64.21216122,-64.17741783,-65.95079098,-70.0036932,-73.34440224,-77.58989914,-82.69082092,-81.00506615,-66.45598091,-63.17440792,-63.05207973,-63.07821499,-62.70200565,-119.29154434,-118.93026062,-118.57492546,-117.49728111,-117.40294136,-116.83754631,-115.55985069,-114.19873383,-63.30009815,-114.7465596
345,-60,104800,22,35,10,-63.04716702,-63.34370274,-63.46681751,-63.28081268,-63.21097408,-63.5767902,-64.04049305,-63.6709655,-63.38614491,-66.3198555,-65.54710842,-66.77951492,-73.01973579,-74.62905029,-79.39592056,-84.02769531,-79.99361465,-65.4959655,-63.32522888,-63.19234024,-62.99818184,-62.950853,-119.66762665,-119.22730789,-118.81629654,-117.98074898,-118.01365036,-117.49293839,-115.99645271,-114.44438263,-63.52938641,-115.08506996
345,-50,104800,22,35,10,-63.25302235,-63.1258371,-63.01872513,-62.92382946,-63.3164061,-63.36187847,-65.24750607,-64.95753139,-65.16944092,-72.01710899,-68.39765633,-70.27711105,-78.9296981,-78.3646254,-82.00340591,-87.16862625,-80.8079895,-65.67631504,-62.89125069,-62.70581944,-63.12369389,-62.79645443,-119.36689789,-119.04276726,-118.36292969,-117.64901123,-118.05244843,-117.47179543,-115.77771492,-114.01198639,-63.30089813,-114.72148392
345,-40,104800,22,35,10,-63.01053322,-62.96538208,-62.89071735,-63.16828247,-63.1105402,-63.47833736,-66.58361153,-67.49525372,-70.04402084,-75.96874359,-73.73499207,-77.02433548,-85.64453186,-83.61415283,-87.06427933,-91.65307625,-83.06643707,-67.10307392,-63.23471016,-63.01356262,-63.01226273,-62.73054771,-119.24735817,-118.72461525,-118.15309883,-117.97821854,-118.27663017,-117.65596596,-116.07887985,-113.77601944,-63.18512077,-114.69467445
345,-30,104800,22,35,10,-63.07070671,-63.12197117,-63.18099937,-63.39491535,-63.14100891,-63.99172855,-69.56338112,-70.83533417,-74.25899956,-80.64284203,-79.88039116,-83.375783,-89.58786545,-88.92194016,-91.80110558,-94.26833687,-85.70732246,-70.13068398,-63.79936569,-63.07836067,-63.04232456,-62.88712963,-119.52669594,-119.2776976,-118.80432091,-118.55640831,-118.36317467,-117.75456245,-116.67504395,-114.39696022,-63.39082035,-114.93228325
345,-20,104800,22,35,10,-63.13543705,-63.39927078,-63.36446136,-63.46073189,-63.34170979,-65.48682648,-70.72058472,-73.06698479,-76.40015953,-81.54960388,-84.12411697,-86.81468819,-89.83417496,-92.4193103,-93.89561478,-95.398964,-86.48891045,-72.25807335,-65.8039315,-63.31042854,-63.15530491,-63.16834438,-119.79080421,-119.77906616,-119.27826225,-118.72773796,-118.66409401,-117.9215448,-116.70003464,-114.78029366,-63.54480873,-115.28154144
345,-10,104800,22,35,10,-63.40345806,-63.07424046,-63.26881786,-63.06862583,-63.78228176,-66.96249584,-73.14445274,-73.9672065,-77.26344086,-81.57372124,-84.73877937,-87.43420502,-89.49890862,-92.81006592,-94.0564566,-93.03510086,-86.5679921,-73.89066322,-65.58525074,-62.96987137,-63.46853168,-62.74025059,-120.02951782,-119.24081436,-118.82422195,-118.24662727,-119.02210953,-118.45927551,-116.48442627,-114.4735334,-63.39219009,-115.01185028
345,0,104800,22,35,10,-63.01740845,-63.18025375,-63.32683838,-62.94665493,-63.61872353,-68.2936631,-74.64211121,-75.04892014,-77.9161676,-81.13806999,-84.08844383,-85.82862267,-88.26552383,-90.97439323,-92.57186195,-91.99737358,-86.46731361,-74.85477654,-67.47119102,-62.7389756,-62.96183296,-62.92898281,-119.52228859,-119.08379723,-118.93382256,-118.06221466,-118.49678963,-118.16612953,-116.50809326,-114.52539192,-63.41771049,-114.80015472
345,10,104800,22,35,10,-62.91226284,-62.92600601,-63.40769691,-63.02897762,-63.61663799,-67.05840069,-74.37757935,-76.8302002,-78.10154434,-80.53215218,-83.41079102,-85.1185038,-88.71252899,-89.53039635,-91.66792793,-92.34390343,-86.7327166,-74.47065399,-67.146497,-63.36688179,-62.942197,-62.68551983,-119.59637978,-118.96067085,-119.22320229,-118.59162888,-118.69756241,-118.29019814,-116.7424398,-114.72316734,-63.32032131,-114.81340309
